company_name,website,score,category,industry,products,services,technologies,use_cases,product_specifications,price_range,contact_email,phone,address,description,summary,breakdown,confidence,recommended_products,reason
Digital Core Technologies Pvt. Ltd.,dicortech.com,73.9,Good Potential,Autonomous Robotics,"[{""name"": ""Quality By"", ""specifications"": """"}, {""name"": ""Design Quality"", ""specifications"": """"}, {""name"": ""By Design"", ""specifications"": """"}]",,"ROS2, LiDAR, SLAM",autonomous navigation,,,,,,,Quality By Design Quality By Design A Trusted Design Partner for all Electronic Product Development needs Digital core technologies 10 YEARS OF GLOBAL SUCCESS QUALITY BY DESIGN FIRST-TIME-RIGHT PROCESS PHILOSOPHY PARTNERSHIPS MEMBERSHIPS DESIGN VALLEY Digital core technologies A Trusted Design Partner For All Electronics Product Development Needs D,"{""domain"": 35.0, ""product"": 8.5, ""ai"": 10.4, ""use_case"": 20.0}",0.79,"Embedded Systems Framework, Real-time Compute Platform",Rebhu fit: domain match (Autonomous Robotics); AI/vision capabilities; use case: autonomous navigation; strong use-case alignment (score 73.9).
ideas unlimited,ideas-unlimited.in,71.9,Good Potential,Autonomous Robotics,"[{""name"": ""Pod-ICU"", ""specifications"": """"}, {""name"": ""Night Sailing Kit"", ""specifications"": """"}]",,"ROS2, LiDAR, SLAM, OpenCV, Automation","autonomous navigation, high-altitude food storage, quality control",,,,,,,"Ideas Unlimited, Mysuru is an R D lab that is into developing cutting edge technologies, products, gizmos, gadgets and with capability to mass produce products or tech developed if required. Slideshow of our recent technologies 1 / 8 World's First Pod-ICU! 2 / 8 Night Sailing Kit for Seabird Class sail boats 3 / 9 Electronics, Hardware, Command Con","{""domain"": 35.0, ""product"": 6.5, ""ai"": 10.4, ""use_case"": 20.0}",0.75,"Autonomous Navigation System, Computer Vision Platform, Real-time Control Engine",Rebhu fit: domain match (Autonomous Robotics); AI/vision capabilities; use case: autonomous navigation; strong use-case alignment (score 71.9).
Silarra,silarra.com,70.3,Good Potential,Autonomous Robotics,"[{""name"": ""IoT"", ""specifications"": """"}, {""name"": ""No Hubris"", ""specifications"": """"}, {""name"": ""Services Services"", ""specifications"": """"}]","product engineering, embedded systems, IoT solutions","ROS2, LiDAR, SLAM",autonomous navigation,,,,,,,"Silarra delivers innovative product engineering, embedded systems, and IoT solutions to help businesses build reliable, scalable technology products. Silarra delivers innovative product engineering, embedded systems, and IoT solutions to help businesses build reliable, scalable technology products. Services We Offer Industries We Serve About The Co","{""domain"": 35.0, ""product"": 6.5, ""ai"": 8.8, ""use_case"": 20.0}",0.79,"Autonomous Navigation System, Computer Vision Platform, Real-time Control Engine",Rebhu fit: domain match (Autonomous Robotics); AI/vision capabilities; use case: autonomous navigation; strong use-case alignment (score 70.3).
Aqtronics Technologies Pvt Ltd,aqtronics.com,66.1,Good Potential,Embedded Systems,"[{""name"": ""Manufacturers Deep"", ""specifications"": """"}, {""name"": ""Tech Sensors"", ""specifications"": """"}, {""name"": ""Embedded Systems"", ""specifications"": """"}]",,"LiDAR, Computer Vision",autonomous navigation,,,,,,,Tech Empowering Business Empowering Businesseswith Cutting-Edge Technology Revolutionizing industries with our transformative and cutting-edge technology solutions Start Now https://aqtronics.com/wp-content/uploads/2024/02/4K-100-Royalty-Free-Stock-Footage-_-Technology-HUD-Element-Intro-Background-_-No-Copyright-Video.mp4 Our Customers Manufacturer,"{""domain"": 23.1, ""product"": 11.0, ""ai"": 12.0, ""use_case"": 20.0}",0.72,"Embedded Systems Framework, Real-time Compute Platform",Rebhu fit: domain match (Embedded Systems); AI/vision capabilities; use case: autonomous navigation; strong use-case alignment (score 66.1).
Keerthi Industries Limited,keerthiindustries.com,63.8,Good Potential,Autonomous Robotics,[],,"ROS2, LiDAR, SLAM","object detection, autonomous navigation",,,,91-040-23076538,,,Cement Division Electronics Division News Events Company Vision About Keerthi Industries Achievements general keerthiindustries.com 91-040-23076538 general keerthiindustries.com 91-040-23076538 general keerthiindustries.com News Events Notice of Board Meeting Declaration of Results of AGM 2015 Scrutinizers report on AGM 2015 Result of Postal Ballot,"{""domain"": 35.0, ""product"": 0.0, ""ai"": 8.8, ""use_case"": 20.0}",0.51,"Embedded Systems Framework, Real-time Compute Platform",Rebhu fit: domain match (Autonomous Robotics); AI/vision capabilities; use case: object detection; strong use-case alignment (score 63.8).
CIRKIT ELECTRO COMPONENTS PVT. LTD.,gmail.com,60.4,Good Potential,Autonomous Robotics,[],,"ROS2, LiDAR, SLAM",autonomous navigation,,,,,,,"Gmail is email that s intuitive, efficient, and useful. 15 GB of storage, less spam, and mobile access. Sign into continue to Gmail Sign into continue to Gmail Email or phoneForgot email?Type the text you hear or seeNot your computer?","{""domain"": 35.0, ""product"": 0.0, ""ai"": 10.4, ""use_case"": 20.0}",0.43,"Embedded Systems Framework, Real-time Compute Platform",Rebhu fit: domain match (Autonomous Robotics); AI/vision capabilities; use case: autonomous navigation; strong use-case alignment (score 60.4).
Technoflex,gmail.com,60.4,Good Potential,Autonomous Robotics,[],,"ROS2, LiDAR, SLAM",autonomous navigation,,,,,,,"Gmail is email that s intuitive, efficient, and useful. 15 GB of storage, less spam, and mobile access. Sign into continue to Gmail Sign into continue to Gmail Email or phoneForgot email?Type the text you hear or seeNot your computer?","{""domain"": 35.0, ""product"": 0.0, ""ai"": 10.4, ""use_case"": 20.0}",0.43,"Embedded Systems Framework, Real-time Compute Platform",Rebhu fit: domain match (Autonomous Robotics); AI/vision capabilities; use case: autonomous navigation; strong use-case alignment (score 60.4).
Eoxys Systems India Pvt. Ltd.,eoxys.com,59.7,Good Potential,Edge AI,"[{""name"": ""Model Generator"", ""specifications"": """"}, {""name"": ""WHAT"", ""specifications"": """"}, {""name"": ""Edge Development"", ""specifications"": """"}]",,"Tiny ML Module, XENO, TML120, Pre-process, Validate, Machine Learning, Edge AI, Autonomous Systems","deterministic ai execution, edge development speed, face recognition",,,,,,,Unified AI Model Generator Platform for Edge AI Devices WHAT IS eFabric? eFabricâ : The Unified ML Factory for Edge Devices End-to-End Lifecycle Zero-Friction Deployment Optimized for the Edge Deterministic AI Execution WHY eFabric? Optimized for the Edge Development Speed Power Efficiency Scalability Integration THE DEVELOPER JOURNEY Zero Friction,"{""domain"": 20.3, ""product"": 11.0, ""ai"": 12.4, ""use_case"": 16.0}",0.81,"Computer Vision Platform, AI Inference Accelerator, Data Pipeline System",Rebhu fit: domain match (Edge AI); AI/vision capabilities; use case: deterministic ai execution; strong use-case alignment (score 59.7).
Amphenol Interconnect India Pvt. Ltd.,amphenol-in.com,55.8,Good Potential,Aerospace Defence,"[{""name"": ""About Amphenol"", ""specifications"": """"}, {""name"": ""Connecting People"", ""specifications"": """"}, {""name"": ""Technology Across"", ""specifications"": """"}]",,,,,,,971 551 579 261,,,"About Amphenol Amphonol interconnect Connecting People and Technology Across the Globe Amphenol stands as one of the world's largest manufacturers of interconnect products. We specialize in the design, manufacturing, and marketing of a wide range of innovative solutions, including electrical, electronic, and fiber optic connectors. Our product offe","{""domain"": 26.6, ""product"": 6.0, ""ai"": 3.2, ""use_case"": 20.0}",0.54,"Embedded Systems Framework, Real-time Compute Platform",Rebhu fit: domain match (Aerospace Defence); use case: aligned application; strong use-case alignment (score 55.8).
ENVITEST,envitestlab.com,55.7,Good Potential,Healthcare AI,"[{""name"": ""EMC"", ""specifications"": """"}, {""name"": ""Aerospace Defense"", ""specifications"": """"}, {""name"": ""Automobiles Environmental"", ""specifications"": """"}]",EMC testing services,EMC,,,,,,,,Best Environmental Testing Lab in Bangalore. We offer EMC testing services for Aerospace Defense. Best environmental testing lab in Bangalore.,"{""domain"": 30.1, ""product"": 4.0, ""ai"": 1.6, ""use_case"": 20.0}",0.56,"Embedded Systems Framework, Real-time Compute Platform",Rebhu fit: domain match (Healthcare AI); use case: aligned application; strong use-case alignment (score 55.7).
SAHASRA ELECTRONICS PVT. LTD.,sahasraelectronics.com,54.6,Moderate,Autonomous Vehicles,"[{""name"": ""EMS"", ""specifications"": """"}, {""name"": ""ESG"", ""specifications"": """"}, {""name"": ""At Sahasra"", ""specifications"": """"}]",,SLAM,autonomous navigation,,,,,,,"Environmental, Social, and Governance (ESG): Sahasra Corporate Video About Sahasra About Us About Sahasra Management Team Annual Returns Certifications Awards Employee Welfare CSR Policy EH S Policy Quality Policy Warranty RMA Policy E Waste Management Green House Gas Management Sustainability Why Sahasra Warranty RMA Policy Warranty RMA Policy Gre","{""domain"": 26.6, ""product"": 2.0, ""ai"": 6.0, ""use_case"": 20.0}",0.65,"Embedded Systems Framework, Real-time Compute Platform",Rebhu fit: domain match (Autonomous Vehicles); use case: autonomous navigation; strong use-case alignment (score 54.6).
Digital Transols AI Private Limited,digitransolutions.in,49.35,Moderate,Digital Transformation,"[{""name"": ""IoT"", ""specifications"": """"}, {""name"": ""Empowering Software"", ""specifications"": """"}, {""name"": ""Quality Process"", ""specifications"": """"}]",development support,"AI, IoT, blockchain, Robotics, Automation",,,,,,,,"Digitran Solutions empowers businesses with cutting-edge digital transformation technologies. We offer development support to revolutionize your operations, leadership, and product innovation, leveraging AI, IoT, blockchain, and more to create impactful change and competitiveness in today's digital landscape. Digitran Solutions empowers businesses","{""domain"": 35.0, ""product"": 12.75, ""ai"": 1.6, ""use_case"": 0.0}",0.63,"Autonomous Navigation System, Computer Vision Platform, Real-time Control Engine",Rebhu fit: domain match (Digital Transformation) (score 49.35).
